Report Date,FIPS,Locality,VDH Health District,Total Cases,Hospitalizations,Deaths
03/17/2020,51001,Accomack,Eastern Shore,0,0,0
03/17/2020,51003,Albemarle,Thomas Jefferson,0,0,0
03/17/2020,51005,Alleghany,Alleghany,0,0,0
03/17/2020,51007,Amelia,Piedmont,0,0,0
03/17/2020,51009,Amherst,Central Virginia,0,0,0
03/17/2020,51011,Appomattox,Central Virginia,0,0,0
03/17/2020,51013,Arlington,Arlington,13,1,0
03/17/2020,51015,Augusta,Central Shenandoah,0,0,0
03/17/2020,51017,Bath,Central Shenandoah,0,0,0
03/17/2020,51019,Bedford,Central Virginia,0,0,0
03/17/2020,51021,Bland,Mount Rogers,0,0,0
03/17/2020,51023,Botetourt,Alleghany,0,0,0
03/17/2020,51025,Brunswick,Southside,0,0,0
03/17/2020,51027,Buchanan,Cumberland Plateau,0,0,0
03/17/2020,51029,Buckingham,Piedmont,0,0,0
03/17/2020,51031,Campbell,Central Virginia,0,0,0
03/17/2020,51033,Caroline,Rappahannock,0,0,0
03/17/2020,51035,Carroll,Mount Rogers,0,0,0
03/17/2020,51036,Charles City,Chickahominy,0,0,0
03/17/2020,51037,Charlotte,Piedmont,0,0,0
03/17/2020,51041,Chesterfield,Chesterfield,4,2,0
03/17/2020,51043,Clarke,Lord Fairfax,0,0,0
03/17/2020,51045,Craig,Alleghany,0,0,0
03/17/2020,51047,Culpeper,Rappahannock Rapidan,0,0,0
03/17/2020,51049,Cumberland,Piedmont,0,0,0
03/17/2020,51051,Dickenson,Cumberland Plateau,0,0,0
03/17/2020,51053,Dinwiddie,Crater,0,0,0
03/17/2020,51057,Essex,Three Rivers,0,0,0
03/17/2020,51059,Fairfax,Fairfax,12,3,0
03/17/2020,51061,Fauquier,Rappahannock Rapidan,0,0,0
03/17/2020,51063,Floyd,New River,0,0,0
03/17/2020,51065,Fluvanna,Thomas Jefferson,0,0,0
03/17/2020,51067,Franklin County,West Piedmont,0,0,0
03/17/2020,51069,Frederick,Lord Fairfax,0,0,0
03/17/2020,51071,Giles,New River,0,0,0
03/17/2020,51073,Gloucester,Three Rivers,0,0,0
03/17/2020,51075,Goochland,Chickahominy,1,0,0
03/17/2020,51077,Grayson,Mount Rogers,0,0,0
03/17/2020,51079,Greene,Thomas Jefferson,0,0,0
03/17/2020,51081,Greensville,Crater,0,0,0
03/17/2020,51083,Halifax,Southside,0,0,0
03/17/2020,51085,Hanover,Chickahominy,1,0,0
03/17/2020,51087,Henrico,Henrico,2,1,0
03/17/2020,51089,Henry,West Piedmont,0,0,0
03/17/2020,51091,Highland,Central Shenandoah,0,0,0
03/17/2020,51093,Isle of Wight,Western Tidewater,0,0,0
03/17/2020,51095,James City,Peninsula,12,6,1
