,fips_code,locality,2019_estimate
6,51001,Accomack County,32561
7,51003,Albemarle County,109722
8,51005,Alleghany County,14952
9,51007,Amelia County,13053
10,51009,Amherst County,31766
11,51011,Appomattox County,15818
12,51013,Arlington County,242152
13,51015,Augusta County,75831
14,51017,Bath County,4318
15,51019,Bedford County,78581
16,51021,Bland County,6364
17,51023,Botetourt County,33494
18,51025,Brunswick County,16292
19,51027,Buchanan County,21295
20,51029,Buckingham County,17075
21,51031,Campbell County,55480
22,51033,Caroline County,30318
23,51035,Carroll County,29137
24,51036,Charles City County,7016
25,51037,Charlotte County,11928
26,51041,Chesterfield County,350760
27,51043,Clarke County,14360
28,51045,Craig County,5108
29,51047,Culpeper County,51998
30,51049,Cumberland County,9855
31,51051,Dickenson County,14299
32,51053,Dinwiddie County,28667
33,51057,Essex County,10765
34,51059,Fairfax County,1143528
35,51061,Fauquier County,70580
36,51063,Floyd County,15561
37,51065,Fluvanna County,27038
38,51067,Franklin County,55782
39,51069,Frederick County,88830
40,51071,Giles County,16757
41,51073,Gloucester County,37090
42,51075,Goochland County,23472
43,51077,Grayson County,15445
44,51079,Greene County,20097
45,51081,Greensville County,11408
46,51083,Halifax County,34329
47,51085,Hanover County,107928
48,51087,Henrico County,328999
49,51089,Henry County,51019
50,51091,Highland County,2246
51,51093,Isle of Wight County,37649
52,51095,James City County,75907
53,51097,King and Queen County,6902
54,51099,King George County,26016
55,51101,King William County,17133
56,51103,Lancaster County,10829
57,51105,Lee County,23810
58,51107,Loudoun County,413546
59,51109,Louisa County,36620
60,51111,Lunenburg County,12246
61,51113,Madison County,13251
62,51115,Mathews County,8645
63,51117,Mecklenburg County,30917
64,51119,Middlesex County,10712
65,51121,Montgomery County,100073
66,51125,Nelson County,14794
67,51127,New Kent County,23066
68,51131,Northampton County,11810
69,51133,Northumberland County,11981
70,51135,Nottoway County,15413
71,51137,Orange County,35921
72,51139,Page County,23857
73,51141,Patrick County,17752
74,51143,Pittsylvania County,61002
75,51145,Powhatan County,29867
76,51147,Prince Edward County,22959
77,51149,Prince George County,37350
78,51153,Prince William County,465498
79,51155,Pulaski County,34097
80,51157,Rappahannock County,7285
81,51159,Richmond County,9192
82,51161,Roanoke County,93805
83,51163,Rockbridge County,22500
84,51165,Rockingham County,82208
85,51167,Russell County,26830
86,51169,Scott County,21892
87,51171,Shenandoah County,42987
88,51173,Smyth County,30075
89,51175,Southampton County,17855
90,51177,Spotsylvania County,135715
91,51179,Stafford County,151689
92,51181,Surry County,6561
93,51183,Sussex County,11449
94,51185,Tazewell County,41332
95,51187,Warren County,39936
96,51191,Washington County,53417
97,51193,Westmoreland County,17895
98,51195,Wise County,37752
99,51197,Wythe County,28480
100,51199,York County,69407
101,51510,Alexandria City,159152
102,51520,Bristol City,17018
103,51530,Buena Vista City,6454
104,51540,Charlottesville City,49181
105,51550,Chesapeake City,245745
106,51570,Colonial Heights City,17194
107,51580,Covington City,5694
108,51590,Danville City,39932
109,51595,Emporia City,5589
110,51600,Fairfax City,23943
111,51610,Falls Church City,14331
112,51620,Franklin City,8261
113,51630,Fredericksburg City,28532
114,51640,Galax City,6545
115,51650,Hampton City,135753
116,51660,Harrisonburg City,53997
117,51670,Hopewell City,22718
118,51678,Lexington City,7432
119,51680,Lynchburg City,80783
120,51683,Manassas City,41757
121,51685,Manassas Park City,16636
122,51690,Martinsville City,12793
123,51700,Newport News City,181000
124,51710,Norfolk City,245054
125,51720,Norton City,3879
126,51730,Petersburg City,31430
127,51735,Poquoson City,12395
128,51740,Portsmouth City,94581
129,51750,Radford City,18044
130,51760,Richmond City,226841
131,51770,Roanoke City,99348
132,51775,Salem City,25363
133,51790,Staunton City,24971
134,51800,Suffolk City,93825
135,51810,Virginia Beach City,452643
136,51820,Waynesboro City,22183
137,51830,Williamsburg City,15383
138,51840,Winchester City,28180
