,fips_code,2019_estimate
2,51001,"32,561"
3,51003,"109,722"
4,51005,"14,952"
5,51007,"13,053"
6,51009,"31,766"
7,51011,"15,818"
8,51013,"242,152"
9,51015,"75,831"
10,51017,"4,318"
11,51019,"78,581"
12,51021,"6,364"
13,51023,"33,494"
14,51025,"16,292"
15,51027,"21,295"
16,51029,"17,075"
17,51031,"55,480"
18,51033,"30,318"
19,51035,"29,137"
20,51036,"7,016"
21,51037,"11,928"
22,51041,"350,760"
23,51043,"14,360"
24,51045,"5,108"
25,51047,"51,998"
26,51049,"9,855"
27,51051,"14,299"
28,51053,"28,667"
29,51057,"10,765"
30,51059,"1,143,528"
31,51061,"70,580"
32,51063,"15,561"
33,51065,"27,038"
34,51067,"55,782"
35,51069,"88,830"
36,51071,"16,757"
37,51073,"37,090"
38,51075,"23,472"
39,51077,"15,445"
40,51079,"20,097"
41,51081,"11,408"
42,51083,"34,329"
43,51085,"107,928"
44,51087,"328,999"
45,51089,"51,019"
46,51091,"2,246"
47,51093,"37,649"
48,51095,"75,907"
49,51097,"6,902"
50,51099,"26,016"
51,51101,"17,133"
52,51103,"10,829"
53,51105,"23,810"
54,51107,"413,546"
55,51109,"36,620"
56,51111,"12,246"
57,51113,"13,251"
58,51115,"8,645"
59,51117,"30,917"
60,51119,"10,712"
61,51121,"100,073"
62,51125,"14,794"
63,51127,"23,066"
64,51131,"11,810"
65,51133,"11,981"
66,51135,"15,413"
67,51137,"35,921"
68,51139,"23,857"
69,51141,"17,752"
70,51143,"61,002"
71,51145,"29,867"
72,51147,"22,959"
73,51149,"37,350"
74,51153,"465,498"
75,51155,"34,097"
76,51157,"7,285"
77,51159,"9,192"
78,51161,"93,805"
79,51163,"22,500"
80,51165,"82,208"
81,51167,"26,830"
82,51169,"21,892"
83,51171,"42,987"
84,51173,"30,075"
85,51175,"17,855"
86,51177,"135,715"
87,51179,"151,689"
88,51181,"6,561"
89,51183,"11,449"
90,51185,"41,332"
91,51187,"39,936"
92,51191,"53,417"
93,51193,"17,895"
94,51195,"37,752"
95,51197,"28,480"
96,51199,"69,407"
97,51510,"159,152"
98,51520,"17,018"
99,51530,"6,454"
100,51540,"49,181"
101,51550,"245,745"
102,51570,"17,194"
103,51580,"5,694"
104,51590,"39,932"
105,51595,"5,589"
106,51600,"23,943"
107,51610,"14,331"
108,51620,"8,261"
109,51630,"28,532"
110,51640,"6,545"
111,51650,"135,753"
112,51660,"53,997"
113,51670,"22,718"
114,51678,"7,432"
115,51680,"80,783"
116,51683,"41,757"
117,51685,"16,636"
118,51690,"12,793"
119,51700,"181,000"
120,51710,"245,054"
121,51720,"3,879"
122,51730,"31,430"
123,51735,"12,395"
124,51740,"94,581"
125,51750,"18,044"
126,51760,"226,841"
127,51770,"99,348"
128,51775,"25,363"
129,51790,"24,971"
130,51800,"93,825"
131,51810,"452,643"
132,51820,"22,183"
133,51830,"15,383"
134,51840,"28,180"
